TIPO DE VICTIMA,ANIO OCURRENCIA,DANE OCURRENCIA,DEPARTAMENTO OCURRENCIA,MUNICIPIO OCURRENCIA,HECHO VICTIMIZANTE,DISCAPACIDAD,GENERO,CICLO VITAL,PERTENENCIA ETNICA,TOTAL
V’ctimas de conflicto armado,2002,5002,ANTIOQUIA,ABEJORRAL,Delitos contra la integridad sexual,Sin discapacidad,Mujer,entre 12 y 17,Ninguna,1
V’ctimas de conflicto armado,1998,54003,NORTE DE SANTANDER,ABREGO,Delitos contra la integridad sexual,Sin discapacidad,Mujer,entre 12 y 17,Ninguna,1
V’ctimas de conflicto armado,2014,50006,META,ACACIAS,Delitos contra la integridad sexual,Sin discapacidad,Mujer,entre 0 y 5,Ninguna,1
V’ctimas de conflicto armado,2014,50006,META,ACACIAS,Delitos contra la integridad sexual,Sin discapacidad,Mujer,entre 12 y 17,Ninguna,1
V’ctimas de conflicto armado,2014,50006,META,ACACIAS,Delitos contra la integridad sexual,Sin discapacidad,Hombre,entre 0 y 5,Ninguna,1
V’ctimas de conflicto armado,2005,27006,CHOCO,ACANDI,Delitos contra la integridad sexual,Sin discapacidad,Mujer,entre 12 y 17,Negro(a) o Afrocolombiano(a),1
V’ctimas de conflicto armado,2013,41006,HUILA,ACEVEDO,Delitos contra la integridad sexual,Sin discapacidad,Mujer,entre 12 y 17,Ninguna,2
V’ctimas de conflicto armado,2013,41006,HUILA,ACEVEDO,Delitos contra la integridad sexual,Sin discapacidad,Hombre,entre 0 y 5,Ninguna,1
V’ctimas de conflicto armado,2013,41006,HUILA,ACEVEDO,Delitos contra la integridad sexual,Sin discapacidad,Hombre,entre 6 y 11,Ninguna,2
V’ctimas de conflicto armado,2000,20011,CESAR,AGUACHICA,Delitos contra la integridad sexual,Sin discapacidad,Hombre,entre 12 y 17,Ninguna,1
V’ctimas de conflicto armado,2009,20011,CESAR,AGUACHICA,Delitos contra la integridad sexual,Sin discapacidad,Mujer,entre 6 y 11,Ninguna,1
V’ctimas de conflicto armado,2009,20011,CESAR,AGUACHICA,Delitos contra la integridad sexual,Sin discapacidad,Hombre,entre 0 y 5,Ninguna,1
V’ctimas de conflicto armado,2004,85010,CASANARE,AGUAZUL,Delitos contra la integridad sexual,Sin discapacidad,Hombre,entre 6 y 11,Ninguna,1
V’ctimas de conflicto armado,2000,20013,CESAR,AGUSTIN CODAZZI,Delitos contra la integridad sexual,Sin discapacidad,Mujer,entre 6 y 11,Ninguna,1
V’ctimas de conflicto armado,2000,20013,CESAR,AGUSTIN CODAZZI,Delitos contra la integridad sexual,Sin discapacidad,Mujer,entre 12 y 17,Ninguna,1
V’ctimas de conflicto armado,2000,20013,CESAR,AGUSTIN CODAZZI,Delitos contra la integridad sexual,Sin discapacidad,Hombre,entre 6 y 11,Ninguna,2
V’ctimas de conflicto armado,2004,20013,CESAR,AGUSTIN CODAZZI,Delitos contra la integridad sexual,Sin discapacidad,Hombre,entre 6 y 11,Ninguna,1
V’ctimas de conflicto armado,2009,20013,CESAR,AGUSTIN CODAZZI,Delitos contra la integridad sexual,Con discapacidad,Mujer,entre 12 y 17,Ninguna,1
V’ctimas de conflicto armado,2009,20013,CESAR,AGUSTIN CODAZZI,Delitos contra la integridad sexual,Sin discapacidad,Mujer,entre 12 y 17,Ninguna,2
V’ctimas de conflicto armado,2004,18029,CAQUETA,ALBANIA,Delitos contra la integridad sexual,Sin discapacidad,Mujer,entre 12 y 17,Ninguna,1
V’ctimas de conflicto armado,2002,5021,ANTIOQUIA,ALEJANDRIA,Delitos contra la integridad sexual,Sin discapacidad,Mujer,entre 6 y 11,Ninguna,1
V’ctimas de conflicto armado,2000,47030,MAGDALENA,ALGARROBO,Delitos contra la integridad sexual,Sin discapacidad,Hombre,entre 12 y 17,Ninguna,1
V’ctimas de conflicto armado,1999,47030,MAGDALENA,ALGARROBO,Delitos contra la integridad sexual,Sin discapacidad,Hombre,entre 6 y 11,Ninguna,1
V’ctimas de conflicto armado,2004,47030,MAGDALENA,ALGARROBO,Delitos contra la integridad sexual,Sin discapacidad,Mujer,entre 12 y 17,Ninguna,1
V’ctimas de conflicto armado,1997,41020,HUILA,ALGECIRAS,Delitos contra la integridad sexual,Sin discapacidad,Hombre,entre 12 y 17,Ninguna,1
V’ctimas de conflicto armado,2006,41020,HUILA,ALGECIRAS,Delitos contra la integridad sexual,Sin discapacidad,Hombre,entre 6 y 11,Negro(a) o Afrocolombiano(a),1
V’ctimas de conflicto armado,2012,41020,HUILA,ALGECIRAS,Delitos contra la integridad sexual,Sin discapacidad,Mujer,entre 12 y 17,Ninguna,1
V’ctimas de conflicto armado,2014,27025,CHOCO,ALTO BAUDO,Delitos contra la integridad sexual,Sin discapacidad,Mujer,entre 0 y 5,Negro(a) o Afrocolombiano(a),1
V’ctimas de conflicto armado,2014,27025,CHOCO,ALTO BAUDO,Delitos contra la integridad sexual,Sin discapacidad,Hombre,entre 0 y 5,Negro(a) o Afrocolombiano(a),1
V’ctimas de conflicto armado,2001,5031,ANTIOQUIA,AMALFI,Delitos contra la integridad sexual,Sin discapacidad,Mujer,entre 12 y 17,Ninguna,1
V’ctimas de conflicto armado,2000,5034,ANTIOQUIA,ANDES,Delitos contra la integridad sexual,Sin discapacidad,Hombre,entre 12 y 17,Ninguna,1
V’ctimas de conflicto armado,2011,5040,ANTIOQUIA,ANORI,Delitos contra la integridad sexual,Con discapacidad,Mujer,entre 12 y 17,Ninguna,1
V’ctimas de conflicto armado,2012,73043,TOLIMA,ANZOATEGUI,Delitos contra la integridad sexual,Sin discapacidad,Hombre,entre 0 y 5,Ninguna,1
V’ctimas de conflicto armado,2000,5045,ANTIOQUIA,APARTADO,Delitos contra la integridad sexual,Sin discapacidad,Hombre,entre 12 y 17,Ninguna,3
V’ctimas de conflicto armado,1994,5045,ANTIOQUIA,APARTADO,Delitos contra la integridad sexual,Sin discapacidad,Hombre,entre 12 y 17,Ninguna,2
V’ctimas de conflicto armado,1998,5045,ANTIOQUIA,APARTADO,Delitos contra la integridad sexual,Con discapacidad,Hombre,entre 12 y 17,Ninguna,1
V’ctimas de conflicto armado,2003,5045,ANTIOQUIA,APARTADO,Delitos contra la integridad sexual,Sin discapacidad,Hombre,entre 6 y 11,Ninguna,2
V’ctimas de conflicto armado,2006,5045,ANTIOQUIA,APARTADO,Delitos contra la integridad sexual,Sin discapacidad,Hombre,entre 12 y 17,Ninguna,1
V’ctimas de conflicto armado,2009,5045,ANTIOQUIA,APARTADO,Delitos contra la integridad sexual,Con discapacidad,Hombre,entre 0 y 5,Negro(a) o Afrocolombiano(a),1
V’ctimas de conflicto armado,2013,5045,ANTIOQUIA,APARTADO,Delitos contra la integridad sexual,Sin discapacidad,Mujer,entre 6 y 11,Ninguna,1
V’ctimas de conflicto armado,2013,5045,ANTIOQUIA,APARTADO,Delitos contra la integridad sexual,Sin discapacidad,Mujer,entre 12 y 17,Ninguna,1
V’ctimas reconocidas Sentencia C280 y Auto 119 de 2013,2012,5045,ANTIOQUIA,APARTADO,Delitos contra la integridad sexual,Sin discapacidad,Mujer,entre 12 y 17,Negro(a) o Afrocolombiano(a),1
V’ctimas de conflicto armado,2009,66045,RISARALDA,APIA,Delitos contra la integridad sexual,Sin discapacidad,Hombre,entre 0 y 5,Ninguna,1
V’ctimas de conflicto armado,2002,47053,MAGDALENA,ARACATACA,Delitos contra la integridad sexual,Sin discapacidad,Hombre,entre 6 y 11,Ninguna,1
V’ctimas de conflicto armado,2004,47053,MAGDALENA,ARACATACA,Delitos contra la integridad sexual,Sin discapacidad,Mujer,entre 6 y 11,Ninguna,1
V’ctimas de conflicto armado,2004,47053,MAGDALENA,ARACATACA,Delitos contra la integridad sexual,Sin discapacidad,Mujer,entre 12 y 17,Ninguna,2
V’ctimas de conflicto armado,2004,47053,MAGDALENA,ARACATACA,Delitos contra la integridad sexual,Sin discapacidad,Hombre,entre 12 y 17,Ninguna,1
V’ctimas de conflicto armado,2004,47053,MAGDALENA,ARACATACA,Delitos contra la integridad sexual,Sin discapacidad,No Informa,entre 12 y 17,Ninguna,1
V’ctimas de conflicto armado,2000,81001,ARAUCA,ARAUCA,Delitos contra la integridad sexual,Sin discapacidad,Hombre,entre 12 y 17,Ninguna,1
V’ctimas de conflicto armado,1998,81001,ARAUCA,ARAUCA,Delitos contra la integridad sexual,Sin discapacidad,Mujer,entre 12 y 17,Ninguna,1
V’ctimas de conflicto armado,2003,81065,ARAUCA,ARAUQUITA,Delitos contra la integridad sexual,Sin discapacidad,Mujer,entre 6 y 11,Ninguna,1
V’ctimas de conflicto armado,2005,81065,ARAUCA,ARAUQUITA,Delitos contra la integridad sexual,Sin discapacidad,Mujer,entre 12 y 17,Ninguna,1
V’ctimas de conflicto armado,2010,81065,ARAUCA,ARAUQUITA,Delitos contra la integridad sexual,Con discapacidad,Mujer,entre 12 y 17,Ninguna,1
V’ctimas de conflicto armado,2007,5051,ANTIOQUIA,ARBOLETES,Delitos contra la integridad sexual,Sin discapacidad,Hombre,entre 6 y 11,Ninguna,1
V’ctimas de conflicto armado,2001,13042,BOLIVAR,ARENAL,Delitos contra la integridad sexual,Sin discapacidad,Hombre,entre 12 y 17,Ninguna,1
V’ctimas de conflicto armado,2003,13042,BOLIVAR,ARENAL,Delitos contra la integridad sexual,Sin discapacidad,Mujer,entre 6 y 11,Negro(a) o Afrocolombiano(a),1
V’ctimas de conflicto armado,1998,5055,ANTIOQUIA,ARGELIA,Delitos contra la integridad sexual,Sin discapacidad,Mujer,entre 12 y 17,Ninguna,1
V’ctimas de conflicto armado,1999,5055,ANTIOQUIA,ARGELIA,Delitos contra la integridad sexual,Sin discapacidad,Mujer,entre 0 y 5,Ninguna,1
V’ctimas de conflicto armado,1999,5055,ANTIOQUIA,ARGELIA,Delitos contra la integridad sexual,Sin discapacidad,Mujer,entre 6 y 11,Ninguna,1
V’ctimas de conflicto armado,1999,5055,ANTIOQUIA,ARGELIA,Delitos contra la integridad sexual,Sin discapacidad,Hombre,entre 6 y 11,Ninguna,2
V’ctimas de conflicto armado,1999,5055,ANTIOQUIA,ARGELIA,Delitos contra la integridad sexual,Sin discapacidad,Hombre,entre 12 y 17,Ninguna,1
V’ctimas de conflicto armado,2002,5055,ANTIOQUIA,ARGELIA,Delitos contra la integridad sexual,Sin discapacidad,Mujer,entre 12 y 17,Ninguna,1
V’ctimas de conflicto armado,2004,19050,CAUCA,ARGELIA,Delitos contra la integridad sexual,Con discapacidad,Mujer,entre 6 y 11,Ninguna,1
V’ctimas de conflicto armado,2012,19050,CAUCA,ARGELIA,Delitos contra la integridad sexual,Sin discapacidad,Mujer,entre 12 y 17,Ninguna,1
V’ctimas de conflicto armado,2013,5055,ANTIOQUIA,ARGELIA,Delitos contra la integridad sexual,Sin discapacidad,Mujer,entre 0 y 5,Ninguna,1
V’ctimas de conflicto armado,2013,76054,VALLE DEL CAUCA,ARGELIA,Delitos contra la integridad sexual,Con discapacidad,Hombre,entre 6 y 11,Negro(a) o Afrocolombiano(a),1
